enrollee_id,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
26445,0.732,Male,No relevent experience,Part time course,Graduate,Business Degree,<1,100-500,Pvt Ltd,1,69,1.0
27196,1.02,Male,Has relevent experience,Full time course,Graduate,STEM,7,10/49,Pvt Ltd,4,28,1.0
30335,0.724,Male,Has relevent experience,Full time course,Graduate,STEM,<1,50-99,Early Stage Startup,1,24,1.0
14121,1.02,Male,Has relevent experience,Part time course,Graduate,STEM,3,100-500,NGO,1,106,1.0
5590,0.714,Male,Has relevent experience,Part time course,Masters,STEM,9,5000-9999,Pvt Ltd,3,8,1.0
11018,0.6589999999999999,Male,Has relevent experience,Full time course,Masters,Humanities,3,50-99,Pvt Ltd,1,15,1.0
31486,0.946,Male,Has relevent experience,Part time course,Graduate,STEM,3,50-99,Pvt Ltd,2,173,1.0
10631,0.554,Male,No relevent experience,Full time course,Masters,Other,1,50-99,Pvt Ltd,never,19,1.0
29729,0.694,Male,Has relevent experience,Full time course,Graduate,STEM,6,100-500,Pvt Ltd,1,28,1.0
14823,0.584,Male,No relevent experience,Part time course,Graduate,No Major,5,<10,Early Stage Startup,4,48,1.0
14823,0.594,Male,No relevent experience,Part time course,Graduate,No Major,5,<10,Early Stage Startup,4,49,1.0
2350,0.634,Male,Has relevent experience,Full time course,Graduate,STEM,13,10/49,Pvt Ltd,2,142,1.0
5200,0.584,Male,Has relevent experience,Full time course,Graduate,STEM,9,<10,Pvt Ltd,2,54,1.0
10557,0.534,Female,Has relevent experience,Full time course,Masters,STEM,9,50-99,Early Stage Startup,never,220,1.0
21630,0.704,Male,Has relevent experience,Full time course,Graduate,STEM,2,10/49,Early Stage Startup,1,29,1.0
31812,0.554,Male,Has relevent experience,Full time course,Graduate,STEM,3,100-500,Pvt Ltd,1,86,1.0
7237,0.8200000000000001,Male,No relevent experience,Full time course,Graduate,STEM,3,100-500,Pvt Ltd,2,18,1.0
11030,0.933,Male,Has relevent experience,Part time course,Graduate,STEM,17,10000+,Pvt Ltd,4,201,1.0
14714,0.644,Male,Has relevent experience,Full time course,Graduate,STEM,4,10/49,Pvt Ltd,4,108,1.0
25254,0.684,Female,Has relevent experience,Full time course,Graduate,STEM,2,10/49,Pvt Ltd,1,5,1.0
2240,0.724,Male,Has relevent experience,Full time course,Graduate,STEM,2,10/49,Pvt Ltd,2,43,1.0
2760,0.644,Male,Has relevent experience,Full time course,Graduate,STEM,1,500-999,Pvt Ltd,1,2,1.0
1018,0.724,Male,Has relevent experience,Full time course,Graduate,STEM,11,100-500,Pvt Ltd,1,67,1.0
14569,0.694,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Pvt Ltd,2,72,1.0
33168,0.644,Female,Has relevent experience,Full time course,Masters,STEM,<1,<10,Pvt Ltd,1,33,1.0
14335,0.6429999999999999,Male,No relevent experience,Full time course,Graduate,STEM,5,50-99,Pvt Ltd,2,94,1.0
7237,0.9700000000000001,Male,No relevent experience,Full time course,Graduate,STEM,3,100-500,Pvt Ltd,2,17,1.0
18599,0.8460000000000001,Male,No relevent experience,Full time course,Masters,STEM,4,10/49,Public Sector,4,36,1.0
28960,0.5089999999999999,Male,Has relevent experience,Part time course,Graduate,STEM,6,100-500,Funded Startup,1,9,1.0
12089,0.674,Male,Has relevent experience,Full time course,Graduate,STEM,4,10/49,Early Stage Startup,1,189,1.0
30855,0.634,Male,Has relevent experience,Full time course,Graduate,STEM,8,10000+,Pvt Ltd,2,24,1.0
14257,0.674,Male,No relevent experience,Full time course,Graduate,STEM,13,10/49,NGO,1,24,1.0
32043,0.604,Male,Has relevent experience,Full time course,Masters,STEM,10,50-99,Pvt Ltd,2,62,1.0
33155,0.594,Male,Has relevent experience,Full time course,Graduate,STEM,2,<10,Pvt Ltd,2,64,1.0
17362,0.5700000000000001,Male,Has relevent experience,Full time course,Graduate,STEM,4,10/49,Pvt Ltd,1,30,1.0
10631,0.654,Male,No relevent experience,Full time course,Masters,Other,1,50-99,Pvt Ltd,never,19,1.0
18640,0.704,Male,Has relevent experience,Full time course,Graduate,STEM,5,500-999,Pvt Ltd,4,10,1.0
27359,0.56,Male,Has relevent experience,Part time course,Masters,STEM,9,50-99,Pvt Ltd,3,12,1.0
25898,0.644,Male,Has relevent experience,Full time course,Masters,STEM,17,10000+,Pvt Ltd,1,127,1.0
5570,0.646,Male,Has relevent experience,Full time course,Graduate,STEM,6,50-99,Pvt Ltd,1,34,1.0
10631,0.544,Male,No relevent experience,Full time course,Masters,Other,1,50-99,Pvt Ltd,never,13,1.0
18631,0.594,Male,Has relevent experience,Full time course,Masters,STEM,11,100-500,Pvt Ltd,4,-1,1.0
7073,0.6279999999999999,Male,No relevent experience,Full time course,Graduate,STEM,3,10/49,Pvt Ltd,1,59,1.0
24964,0.544,Male,Has relevent experience,Full time course,Masters,STEM,2,1000-4999,Pvt Ltd,1,38,1.0
7073,0.5079999999999999,Male,No relevent experience,Full time course,Graduate,STEM,3,10/49,Pvt Ltd,1,62,1.0
2760,0.544,Male,Has relevent experience,Full time course,Graduate,STEM,1,500-999,Pvt Ltd,1,5,1.0
22370,0.5079999999999999,Male,Has relevent experience,Full time course,Graduate,STEM,4,50-99,Pvt Ltd,1,100,1.0
2203,0.534,Male,Has relevent experience,Part time course,Graduate,STEM,4,10000+,Pvt Ltd,4,48,1.0
22553,0.674,Male,Has relevent experience,Full time course,Graduate,STEM,5,50-99,Pvt Ltd,1,131,1.0
32909,0.614,Male,No relevent experience,Full time course,Graduate,STEM,4,50-99,Funded Startup,1,45,1.0
20393,0.65,Male,Has relevent experience,Part time course,Graduate,No Major,6,500-999,Pvt Ltd,1,27,1.0
32999,0.564,Male,Has relevent experience,Part time course,Graduate,STEM,3,10/49,Pvt Ltd,2,325,1.0
33155,0.554,Male,Has relevent experience,Full time course,Graduate,STEM,2,<10,Pvt Ltd,2,57,1.0
5203,0.534,Male,Has relevent experience,Full time course,Graduate,STEM,3,10/49,Pvt Ltd,>4,113,1.0
14095,0.6159999999999999,Male,Has relevent experience,Part time course,Graduate,Humanities,2,100-500,Pvt Ltd,2,7,1.0
7938,0.674,Male,No relevent experience,Full time course,Graduate,STEM,3,100-500,Pvt Ltd,3,14,1.0
6616,0.524,Male,Has relevent experience,Full time course,Graduate,STEM,4,10/49,Pvt Ltd,1,32,1.0
21590,0.674,Male,No relevent experience,Full time course,Graduate,STEM,2,<10,Pvt Ltd,1,42,1.0
5777,0.544,Male,Has relevent experience,Full time course,Graduate,STEM,1,50-99,Pvt Ltd,never,8,1.0
28829,0.524,Male,Has relevent experience,Full time course,Graduate,STEM,9,100-500,Pvt Ltd,1,69,1.0
6681,0.584,Male,Has relevent experience,Full time course,Graduate,STEM,7,500-999,Pvt Ltd,1,71,1.0
10294,0.574,Male,Has relevent experience,Full time course,Graduate,STEM,4,100-500,Pvt Ltd,4,6,1.0
5184,0.589,Male,No relevent experience,Part time course,Graduate,STEM,2,100-500,Pvt Ltd,1,11,1.0
6229,0.866,Male,No relevent experience,Full time course,Graduate,STEM,1,10/49,Funded Startup,1,138,1.0
30335,0.634,Male,Has relevent experience,Full time course,Graduate,STEM,<1,50-99,Early Stage Startup,1,36,1.0
14335,0.48299999999999993,Male,No relevent experience,Full time course,Graduate,STEM,5,50-99,Pvt Ltd,2,103,1.0
33155,0.704,Male,Has relevent experience,Full time course,Graduate,STEM,2,<10,Pvt Ltd,2,57,1.0
33155,0.604,Male,Has relevent experience,Full time course,Graduate,STEM,2,<10,Pvt Ltd,2,59,1.0
6755,0.674,Male,Has relevent experience,Full time course,Graduate,STEM,5,50-99,Pvt Ltd,3,46,1.0
28315,0.724,Male,Has relevent experience,Part time course,Masters,STEM,7,50-99,Funded Startup,1,20,1.0
12863,0.866,Male,No relevent experience,Full time course,Masters,STEM,>20,5000-9999,Other,4,105,1.0
14257,0.614,Male,No relevent experience,Full time course,Graduate,STEM,13,10/49,NGO,1,20,1.0
16382,0.714,Male,No relevent experience,Full time course,Masters,STEM,<1,10000+,Pvt Ltd,2,52,1.0
5777,0.694,Male,Has relevent experience,Full time course,Graduate,STEM,1,50-99,Pvt Ltd,never,12,1.0
22370,0.588,Male,Has relevent experience,Full time course,Graduate,STEM,4,50-99,Pvt Ltd,1,100,1.0
10294,0.594,Male,Has relevent experience,Full time course,Graduate,STEM,4,100-500,Pvt Ltd,4,-4,1.0
27233,0.594,Male,Has relevent experience,Full time course,Graduate,STEM,7,50-99,Pvt Ltd,1,7,1.0
19579,0.544,Male,Has relevent experience,Full time course,Masters,STEM,3,50-99,Pvt Ltd,1,16,1.0
32261,0.609,Male,Has relevent experience,Part time course,Graduate,STEM,12,50-99,Funded Startup,2,46,1.0
21348,0.724,Male,Has relevent experience,Full time course,Graduate,STEM,<1,10/49,Early Stage Startup,1,318,1.0
6755,0.674,Male,Has relevent experience,Full time course,Graduate,STEM,5,50-99,Pvt Ltd,3,49,1.0
33143,0.93,Male,No relevent experience,Full time course,Graduate,No Major,1,1000-4999,NGO,1,90,1.0
18532,0.704,Male,Has relevent experience,Full time course,Graduate,STEM,3,100-500,Pvt Ltd,1,41,1.0
11771,0.654,Male,Has relevent experience,Full time course,Masters,STEM,7,10000+,Pvt Ltd,3,86,1.0
2240,0.714,Male,Has relevent experience,Full time course,Graduate,STEM,2,10/49,Pvt Ltd,2,42,1.0
31082,0.876,Male,No relevent experience,Full time course,Masters,STEM,13,10000+,Public Sector,4,87,1.0
26618,0.5960000000000001,Male,Has relevent experience,Part time course,Masters,STEM,2,10000+,Pvt Ltd,1,73,1.0
28825,0.684,Male,Has relevent experience,Full time course,Graduate,STEM,8,5000-9999,Pvt Ltd,1,10,1.0
18624,0.584,Male,Has relevent experience,Full time course,Graduate,STEM,10,5000-9999,Pvt Ltd,1,287,1.0
14714,0.604,Male,Has relevent experience,Full time course,Graduate,STEM,4,10/49,Pvt Ltd,4,108,1.0
20638,0.584,Male,Has relevent experience,Full time course,Graduate,STEM,2,100-500,Pvt Ltd,1,43,1.0
31812,0.594,Male,Has relevent experience,Full time course,Graduate,STEM,3,100-500,Pvt Ltd,1,85,1.0
14569,0.544,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Pvt Ltd,2,63,1.0
5598,0.654,Male,Has relevent experience,Part time course,Graduate,STEM,2,<10,Pvt Ltd,1,7,1.0
30224,0.704,Male,No relevent experience,Full time course,Masters,Other,3,50-99,Pvt Ltd,2,84,1.0
31486,0.816,Male,Has relevent experience,Part time course,Graduate,STEM,3,50-99,Pvt Ltd,2,179,1.0
32720,0.6150000000000001,Female,Has relevent experience,Part time course,Masters,STEM,>20,10000+,NGO,3,126,1.0
28633,0.614,Male,Has relevent experience,Full time course,Masters,STEM,8,100-500,Pvt Ltd,2,33,1.0
12414,0.674,Male,Has relevent experience,Full time course,Graduate,STEM,1,50-99,Pvt Ltd,1,19,1.0
24221,0.584,Male,No relevent experience,Full time course,Graduate,STEM,3,500-999,Pvt Ltd,1,30,1.0
14411,0.634,Male,Has relevent experience,Full time course,Masters,STEM,1,50-99,Pvt Ltd,1,52,1.0
18532,0.684,Male,Has relevent experience,Full time course,Graduate,STEM,3,100-500,Pvt Ltd,1,49,1.0
27233,0.544,Male,Has relevent experience,Full time course,Graduate,STEM,7,50-99,Pvt Ltd,1,6,1.0
11619,0.594,Female,No relevent experience,Full time course,Graduate,STEM,3,500-999,NGO,1,54,1.0
28955,0.8300000000000001,Male,No relevent experience,Part time course,Graduate,Humanities,<1,500-999,Pvt Ltd,1,8,1.0
2545,0.684,Female,Has relevent experience,Full time course,Masters,STEM,8,500-999,Pvt Ltd,2,65,1.0
6681,0.704,Male,Has relevent experience,Full time course,Graduate,STEM,7,500-999,Pvt Ltd,1,79,1.0
3943,0.9,Male,No relevent experience,Full time course,Graduate,STEM,1,10/49,Public Sector,1,15,1.0
10631,0.644,Male,No relevent experience,Full time course,Masters,Other,1,50-99,Pvt Ltd,never,22,1.0
8143,0.694,Female,No relevent experience,Full time course,Graduate,STEM,<1,10000+,Pvt Ltd,4,69,1.0
14411,0.684,Male,Has relevent experience,Full time course,Masters,STEM,1,50-99,Pvt Ltd,1,44,1.0
17068,0.9700000000000001,Male,Has relevent experience,Part time course,Graduate,STEM,3,100-500,Pvt Ltd,1,83,1.0
5203,0.574,Male,Has relevent experience,Full time course,Graduate,STEM,3,10/49,Pvt Ltd,>4,114,1.0
17241,0.8190000000000001,Male,Has relevent experience,Full time course,Graduate,STEM,11,500-999,Pvt Ltd,4,132,1.0
23998,0.5429999999999999,Male,No relevent experience,Full time course,Graduate,STEM,5,5000-9999,Pvt Ltd,1,116,1.0
24937,0.604,Male,Has relevent experience,Full time course,Graduate,STEM,4,50-99,Pvt Ltd,4,197,1.0
32261,0.5489999999999999,Male,Has relevent experience,Part time course,Graduate,STEM,12,50-99,Funded Startup,2,40,1.0
14095,0.6459999999999999,Male,Has relevent experience,Part time course,Graduate,Humanities,2,100-500,Pvt Ltd,2,6,1.0
12414,0.714,Male,Has relevent experience,Full time course,Graduate,STEM,1,50-99,Pvt Ltd,1,23,1.0
12012,0.46,Male,Has relevent experience,Full time course,Masters,STEM,4,50-99,NGO,1,111,1.0
31082,0.8460000000000001,Male,No relevent experience,Full time course,Masters,STEM,13,10000+,Public Sector,4,87,1.0
32999,0.654,Male,Has relevent experience,Part time course,Graduate,STEM,3,10/49,Pvt Ltd,2,332,1.0
31486,0.9259999999999999,Male,Has relevent experience,Part time course,Graduate,STEM,3,50-99,Pvt Ltd,2,183,1.0
21590,0.724,Male,No relevent experience,Full time course,Graduate,STEM,2,<10,Pvt Ltd,1,37,1.0
7237,0.8300000000000001,Male,No relevent experience,Full time course,Graduate,STEM,3,100-500,Pvt Ltd,2,28,1.0
22552,0.584,Male,Has relevent experience,Full time course,Graduate,STEM,4,<10,Pvt Ltd,1,48,1.0
27622,0.564,Male,Has relevent experience,Part time course,Graduate,STEM,11,<10,Early Stage Startup,2,15,1.0
16071,0.507,Male,Has relevent experience,Part time course,Graduate,STEM,7,500-999,Pvt Ltd,1,15,1.0
21590,0.724,Male,No relevent experience,Full time course,Graduate,STEM,2,<10,Pvt Ltd,1,44,1.0
16292,0.544,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Pvt Ltd,never,48,1.0
